,T,NT,stimuli,greedy,action,action*,reward,q,epsilon,alpha,chose_big,fixed_action
56,57,1,"[0.415, 0.405]",1,1,0,0.415,"[[0.356 0.376]
 [0.051 0.076]
 [0.663 0.673]]",0.0,0.9,1,0
57,58,2,"[0.105, 0.115]",1,1,1,0.115,"[[0.356 0.411]
 [0.051 0.076]
 [0.663 0.673]]",0.0,0.9,1,0
58,59,1,"[0.345, 0.335]",1,1,0,0.345,"[[0.356 0.411]
 [0.051 0.111]
 [0.663 0.673]]",0.0,0.9,1,0
59,60,2,"[0.045, 0.035]",1,1,1,0.045,"[[0.356 0.352]
 [0.051 0.111]
 [0.663 0.673]]",0.0,0.9,1,0
60,61,1,"[0.635, 0.645]",1,0,0,0.635,"[[0.356 0.352]
 [0.051 0.052]
 [0.663 0.673]]",0.0,0.9,0,0
61,62,3,"[0.935, 0.945]",1,1,1,0.945,"[[0.607 0.352]
 [0.051 0.052]
 [0.663 0.673]]",0.0,0.9,1,0
62,63,1,"[0.575, 0.585]",1,0,0,0.575,"[[0.607 0.352]
 [0.051 0.052]
 [0.663 0.918]]",0.0,0.9,0,0
63,64,3,"[0.885, 0.875]",1,1,1,0.885,"[[0.578 0.352]
 [0.051 0.052]
 [0.663 0.918]]",0.0,0.9,1,0
64,65,1,"[0.455, 0.465]",1,0,0,0.455,"[[0.578 0.352]
 [0.051 0.052]
 [0.663 0.888]]",0.0,0.9,0,0
65,66,3,"[0.755, 0.765]",1,1,1,0.765,"[[0.467 0.352]
 [0.051 0.052]
 [0.663 0.888]]",0.0,0.9,1,0
66,67,1,"[0.495, 0.485]",1,0,0,0.485,"[[0.467 0.352]
 [0.051 0.052]
 [0.663 0.777]]",0.0,0.9,0,0
67,68,3,"[0.785, 0.795]",1,1,1,0.795,"[[0.483 0.352]
 [0.051 0.052]
 [0.663 0.777]]",0.0,0.9,1,0
68,69,1,"[0.535, 0.545]",1,0,0,0.535,"[[0.483 0.352]
 [0.051 0.052]
 [0.663 0.793]]",0.0,0.9,0,0
69,70,3,"[0.835, 0.845]",1,1,1,0.845,"[[0.53  0.352]
 [0.051 0.052]
 [0.663 0.793]]",0.0,0.9,1,0
70,71,1,"[0.505, 0.495]",1,0,0,0.495,"[[0.53  0.352]
 [0.051 0.052]
 [0.663 0.84 ]]",0.0,0.9,0,0
71,72,3,"[0.805, 0.795]",1,1,1,0.805,"[[0.498 0.352]
 [0.051 0.052]
 [0.663 0.84 ]]",0.0,0.9,1,0
72,73,1,"[0.425, 0.435]",1,0,0,0.425,"[[0.498 0.352]
 [0.051 0.052]
 [0.663 0.808]]",0.0,0.9,0,0
73,74,3,"[0.735, 0.725]",1,1,1,0.735,"[[0.432 0.352]
 [0.051 0.052]
 [0.663 0.808]]",0.0,0.9,1,0
74,75,1,"[0.455, 0.465]",1,0,0,0.455,"[[0.432 0.352]
 [0.051 0.052]
 [0.663 0.742]]",0.0,0.9,0,0
75,76,3,"[0.765, 0.755]",1,1,1,0.765,"[[0.453 0.352]
 [0.051 0.052]
 [0.663 0.742]]",0.0,0.9,1,0
76,77,1,"[0.675, 0.665]",1,0,0,0.665,"[[0.453 0.352]
 [0.051 0.052]
 [0.663 0.763]]",0.0,0.9,0,0
77,78,3,"[0.975, 0.965]",1,1,1,0.975,"[[0.644 0.352]
 [0.051 0.052]
 [0.663 0.763]]",0.0,0.9,1,0
78,79,1,"[0.535, 0.545]",1,0,0,0.535,"[[0.644 0.352]
 [0.051 0.052]
 [0.663 0.954]]",0.0,0.9,0,0
79,80,3,"[0.845, 0.835]",1,1,1,0.845,"[[0.546 0.352]
 [0.051 0.052]
 [0.663 0.954]]",0.0,0.9,1,0
80,81,1,"[0.335, 0.345]",1,0,0,0.335,"[[0.546 0.352]
 [0.051 0.052]
 [0.663 0.856]]",0.0,0.9,0,0
81,82,3,"[0.645, 0.635]",1,1,1,0.645,"[[0.356 0.352]
 [0.051 0.052]
 [0.663 0.856]]",0.0,0.9,1,0
82,83,1,"[0.305, 0.315]",1,0,0,0.305,"[[0.356 0.352]
 [0.051 0.052]
 [0.663 0.666]]",0.0,0.9,0,0
83,84,3,"[0.615, 0.605]",1,1,1,0.615,"[[0.31  0.352]
 [0.051 0.052]
 [0.663 0.666]]",0.0,0.9,1,0
84,85,1,"[0.395, 0.385]",1,1,0,0.395,"[[0.31  0.352]
 [0.051 0.052]
 [0.663 0.62 ]]",0.0,0.9,1,0
85,86,2,"[0.095, 0.085]",1,1,1,0.095,"[[0.31  0.391]
 [0.051 0.052]
 [0.663 0.62 ]]",0.0,0.9,1,0
86,87,1,"[0.435, 0.445]",1,1,0,0.445,"[[0.31  0.391]
 [0.051 0.091]
 [0.663 0.62 ]]",0.0,0.9,1,0
87,88,2,"[0.145, 0.135]",1,1,1,0.145,"[[0.31  0.44 ]
 [0.051 0.091]
 [0.663 0.62 ]]",0.0,0.9,1,0
88,89,1,"[0.455, 0.465]",1,1,0,0.465,"[[0.31  0.44 ]
 [0.051 0.14 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
89,90,2,"[0.165, 0.155]",1,1,1,0.165,"[[0.31  0.462]
 [0.051 0.14 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
90,91,1,"[0.375, 0.365]",1,1,0,0.375,"[[0.31  0.462]
 [0.051 0.162]
 [0.663 0.62 ]]",0.0,0.9,1,0
91,92,2,"[0.075, 0.065]",1,1,1,0.075,"[[0.31  0.384]
 [0.051 0.162]
 [0.663 0.62 ]]",0.0,0.9,1,0
92,93,1,"[0.455, 0.465]",1,1,0,0.465,"[[0.31  0.384]
 [0.051 0.084]
 [0.663 0.62 ]]",0.0,0.9,1,0
93,94,2,"[0.165, 0.155]",1,1,1,0.165,"[[0.31  0.457]
 [0.051 0.084]
 [0.663 0.62 ]]",0.0,0.9,1,0
94,95,1,"[0.675, 0.685]",1,1,0,0.685,"[[0.31  0.457]
 [0.051 0.157]
 [0.663 0.62 ]]",0.0,0.9,1,0
95,96,2,"[0.375, 0.385]",1,1,1,0.385,"[[0.31  0.662]
 [0.051 0.157]
 [0.663 0.62 ]]",0.0,0.9,1,0
96,97,1,"[0.645, 0.635]",1,1,0,0.645,"[[0.31  0.662]
 [0.051 0.362]
 [0.663 0.62 ]]",0.0,0.9,1,0
97,98,2,"[0.335, 0.345]",1,1,1,0.345,"[[0.31  0.647]
 [0.051 0.362]
 [0.663 0.62 ]]",0.0,0.9,1,0
98,99,1,"[0.475, 0.485]",1,1,0,0.485,"[[0.31  0.647]
 [0.051 0.347]
 [0.663 0.62 ]]",0.0,0.9,1,0
99,100,2,"[0.185, 0.175]",1,1,1,0.185,"[[0.31  0.501]
 [0.051 0.347]
 [0.663 0.62 ]]",0.0,0.9,1,0
100,101,1,"[0.415, 0.405]",1,1,0,0.415,"[[0.31  0.501]
 [0.051 0.201]
 [0.663 0.62 ]]",0.0,0.9,1,0
101,102,2,"[0.115, 0.105]",1,1,1,0.115,"[[0.31  0.424]
 [0.051 0.201]
 [0.663 0.62 ]]",0.0,0.9,1,0
102,103,1,"[0.565, 0.555]",1,1,0,0.565,"[[0.31  0.424]
 [0.051 0.124]
 [0.663 0.62 ]]",0.0,0.9,1,0
103,104,2,"[0.255, 0.265]",1,1,1,0.265,"[[0.31  0.551]
 [0.051 0.124]
 [0.663 0.62 ]]",0.0,0.9,1,0
104,105,1,"[0.485, 0.495]",1,1,0,0.495,"[[0.31  0.551]
 [0.051 0.251]
 [0.663 0.62 ]]",0.0,0.9,1,0
105,106,2,"[0.185, 0.195]",1,1,1,0.195,"[[0.31  0.501]
 [0.051 0.251]
 [0.663 0.62 ]]",0.0,0.9,1,0
106,107,1,"[0.435, 0.425]",1,1,0,0.435,"[[0.31  0.501]
 [0.051 0.201]
 [0.663 0.62 ]]",0.0,0.9,1,0
107,108,2,"[0.125, 0.135]",1,1,1,0.135,"[[0.31  0.442]
 [0.051 0.201]
 [0.663 0.62 ]]",0.0,0.9,1,0
108,109,1,"[0.505, 0.495]",1,1,0,0.505,"[[0.31  0.442]
 [0.051 0.142]
 [0.663 0.62 ]]",0.0,0.9,1,0
109,110,2,"[0.195, 0.205]",1,1,1,0.205,"[[0.31  0.499]
 [0.051 0.142]
 [0.663 0.62 ]]",0.0,0.9,1,0
110,111,1,"[0.475, 0.485]",1,1,0,0.485,"[[0.31  0.499]
 [0.051 0.199]
 [0.663 0.62 ]]",0.0,0.9,1,0
111,112,2,"[0.185, 0.175]",1,1,1,0.185,"[[0.31  0.486]
 [0.051 0.199]
 [0.663 0.62 ]]",0.0,0.9,1,0
112,113,1,"[0.605, 0.615]",1,1,0,0.615,"[[0.31  0.486]
 [0.051 0.186]
 [0.663 0.62 ]]",0.0,0.9,1,0
113,114,2,"[0.305, 0.315]",1,1,1,0.315,"[[0.31  0.602]
 [0.051 0.186]
 [0.663 0.62 ]]",0.0,0.9,1,0
114,115,1,"[0.385, 0.375]",1,1,0,0.385,"[[0.31  0.602]
 [0.051 0.302]
 [0.663 0.62 ]]",0.0,0.9,1,0
115,116,2,"[0.075, 0.085]",1,1,1,0.085,"[[0.31  0.407]
 [0.051 0.302]
 [0.663 0.62 ]]",0.0,0.9,1,0
116,117,1,"[0.565, 0.575]",1,1,0,0.575,"[[0.31  0.407]
 [0.051 0.107]
 [0.663 0.62 ]]",0.0,0.9,1,0
117,118,2,"[0.265, 0.275]",1,1,1,0.275,"[[0.31  0.558]
 [0.051 0.107]
 [0.663 0.62 ]]",0.0,0.9,1,0
118,119,1,"[0.585, 0.595]",1,1,0,0.595,"[[0.31  0.558]
 [0.051 0.258]
 [0.663 0.62 ]]",0.0,0.9,1,0
119,120,2,"[0.295, 0.285]",1,1,1,0.295,"[[0.31  0.591]
 [0.051 0.258]
 [0.663 0.62 ]]",0.0,0.9,1,0
120,121,1,"[0.325, 0.315]",1,1,0,0.325,"[[0.31  0.591]
 [0.051 0.291]
 [0.663 0.62 ]]",0.0,0.9,1,0
121,122,2,"[0.015, 0.025]",1,1,1,0.025,"[[0.31  0.352]
 [0.051 0.291]
 [0.663 0.62 ]]",0.0,0.9,1,0
122,123,1,"[0.525, 0.515]",1,1,0,0.525,"[[0.31  0.352]
 [0.051 0.052]
 [0.663 0.62 ]]",0.0,0.9,1,0
123,124,2,"[0.215, 0.225]",1,1,1,0.225,"[[0.31  0.508]
 [0.051 0.052]
 [0.663 0.62 ]]",0.0,0.9,1,0
124,125,1,"[0.665, 0.675]",1,1,0,0.675,"[[0.31  0.508]
 [0.051 0.208]
 [0.663 0.62 ]]",0.0,0.9,1,0
125,126,2,"[0.365, 0.375]",1,1,1,0.375,"[[0.31  0.658]
 [0.051 0.208]
 [0.663 0.62 ]]",0.0,0.9,1,0
126,127,1,"[0.385, 0.395]",1,1,0,0.395,"[[0.31  0.658]
 [0.051 0.358]
 [0.663 0.62 ]]",0.0,0.9,1,0
127,128,2,"[0.085, 0.095]",1,1,1,0.095,"[[0.31  0.421]
 [0.051 0.358]
 [0.663 0.62 ]]",0.0,0.9,1,0
128,129,1,"[0.645, 0.655]",1,1,0,0.655,"[[0.31  0.421]
 [0.051 0.121]
 [0.663 0.62 ]]",0.0,0.9,1,0
129,130,2,"[0.355, 0.345]",1,1,1,0.355,"[[0.31  0.632]
 [0.051 0.121]
 [0.663 0.62 ]]",0.0,0.9,1,0
130,131,1,"[0.435, 0.445]",1,1,0,0.445,"[[0.31  0.632]
 [0.051 0.332]
 [0.663 0.62 ]]",0.0,0.9,1,0
131,132,2,"[0.135, 0.145]",1,1,1,0.145,"[[0.31  0.464]
 [0.051 0.332]
 [0.663 0.62 ]]",0.0,0.9,1,0
132,133,1,"[0.375, 0.385]",1,1,0,0.385,"[[0.31  0.464]
 [0.051 0.164]
 [0.663 0.62 ]]",0.0,0.9,1,0
133,134,2,"[0.085, 0.075]",1,1,1,0.085,"[[0.31  0.393]
 [0.051 0.164]
 [0.663 0.62 ]]",0.0,0.9,1,0
134,135,1,"[0.565, 0.575]",1,1,0,0.575,"[[0.31  0.393]
 [0.051 0.093]
 [0.663 0.62 ]]",0.0,0.9,1,0
135,136,2,"[0.265, 0.275]",1,1,1,0.275,"[[0.31  0.557]
 [0.051 0.093]
 [0.663 0.62 ]]",0.0,0.9,1,0
136,137,1,"[0.345, 0.355]",1,1,0,0.355,"[[0.31  0.557]
 [0.051 0.257]
 [0.663 0.62 ]]",0.0,0.9,1,0
137,138,2,"[0.055, 0.045]",1,1,1,0.055,"[[0.31  0.375]
 [0.051 0.257]
 [0.663 0.62 ]]",0.0,0.9,1,0
138,139,1,"[0.635, 0.645]",1,1,0,0.645,"[[0.31  0.375]
 [0.051 0.075]
 [0.663 0.62 ]]",0.0,0.9,1,0
139,140,2,"[0.335, 0.345]",1,1,1,0.345,"[[0.31  0.618]
 [0.051 0.075]
 [0.663 0.62 ]]",0.0,0.9,1,0
140,141,1,"[0.425, 0.435]",1,1,0,0.435,"[[0.31  0.618]
 [0.051 0.318]
 [0.663 0.62 ]]",0.0,0.9,1,0
141,142,2,"[0.135, 0.125]",1,1,1,0.135,"[[0.31  0.453]
 [0.051 0.318]
 [0.663 0.62 ]]",0.0,0.9,1,0
142,143,1,"[0.365, 0.375]",1,1,0,0.375,"[[0.31  0.453]
 [0.051 0.153]
 [0.663 0.62 ]]",0.0,0.9,1,0
143,144,2,"[0.065, 0.075]",1,1,1,0.075,"[[0.31  0.383]
 [0.051 0.153]
 [0.663 0.62 ]]",0.0,0.9,1,0
144,145,1,"[0.345, 0.355]",1,1,0,0.355,"[[0.31  0.383]
 [0.051 0.083]
 [0.663 0.62 ]]",0.0,0.9,1,0
145,146,2,"[0.055, 0.045]",1,1,1,0.055,"[[0.31  0.358]
 [0.051 0.083]
 [0.663 0.62 ]]",0.0,0.9,1,0
146,147,1,"[0.575, 0.585]",1,1,0,0.585,"[[0.31  0.358]
 [0.051 0.058]
 [0.663 0.62 ]]",0.0,0.9,1,0
147,148,2,"[0.275, 0.285]",1,1,1,0.285,"[[0.31  0.562]
 [0.051 0.058]
 [0.663 0.62 ]]",0.0,0.9,1,0
148,149,1,"[0.305, 0.315]",1,1,0,0.315,"[[0.31  0.562]
 [0.051 0.262]
 [0.663 0.62 ]]",0.0,0.9,1,0
149,150,2,"[0.015, 0.005]",1,1,1,0.015,"[[0.31  0.34 ]
 [0.051 0.262]
 [0.663 0.62 ]]",0.0,0.9,1,0
150,151,1,"[0.365, 0.355]",1,1,0,0.365,"[[0.31  0.34 ]
 [0.051 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
151,152,2,"[0.055, 0.065]",1,0,1,0.055,"[[0.31  0.362]
 [0.051 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
152,153,1,"[0.475, 0.485]",1,1,0,0.485,"[[0.31  0.362]
 [0.055 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
153,154,2,"[0.175, 0.185]",1,0,1,0.175,"[[0.31  0.473]
 [0.055 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
154,155,1,"[0.345, 0.335]",1,1,0,0.345,"[[0.31  0.473]
 [0.163 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
155,156,2,"[0.045, 0.035]",1,0,1,0.035,"[[0.31  0.358]
 [0.163 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
156,157,1,"[0.375, 0.365]",1,1,0,0.375,"[[0.31  0.358]
 [0.048 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
157,158,2,"[0.065, 0.075]",1,0,1,0.065,"[[0.31  0.373]
 [0.048 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
158,159,1,"[0.345, 0.355]",1,1,0,0.355,"[[0.31  0.373]
 [0.063 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
159,160,2,"[0.045, 0.055]",1,0,1,0.045,"[[0.31  0.357]
 [0.063 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
160,161,1,"[0.655, 0.645]",1,1,0,0.655,"[[0.31  0.357]
 [0.047 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
161,162,2,"[0.345, 0.355]",1,0,1,0.345,"[[0.31  0.625]
 [0.047 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
162,163,1,"[0.635, 0.625]",1,1,0,0.635,"[[0.31  0.625]
 [0.315 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
163,164,2,"[0.335, 0.325]",1,0,1,0.325,"[[0.31  0.634]
 [0.315 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
164,165,1,"[0.665, 0.655]",1,1,0,0.665,"[[0.31  0.634]
 [0.324 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
165,166,2,"[0.365, 0.355]",1,0,1,0.355,"[[0.31  0.662]
 [0.324 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
166,167,1,"[0.435, 0.425]",1,1,0,0.435,"[[0.31  0.662]
 [0.352 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
167,168,2,"[0.125, 0.135]",1,0,1,0.125,"[[0.31  0.458]
 [0.352 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
168,169,1,"[0.575, 0.565]",1,1,0,0.575,"[[0.31  0.458]
 [0.148 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
169,170,2,"[0.265, 0.275]",1,0,1,0.265,"[[0.31  0.563]
 [0.148 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
170,171,1,"[0.545, 0.555]",1,1,0,0.555,"[[0.31  0.563]
 [0.253 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
171,172,2,"[0.245, 0.255]",1,0,1,0.245,"[[0.31  0.556]
 [0.253 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
172,173,1,"[0.375, 0.385]",1,1,0,0.385,"[[0.31  0.556]
 [0.246 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
173,174,2,"[0.085, 0.075]",1,0,1,0.075,"[[0.31  0.402]
 [0.246 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
174,175,1,"[0.565, 0.575]",1,1,0,0.575,"[[0.31  0.402]
 [0.092 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
175,176,2,"[0.275, 0.265]",1,0,1,0.265,"[[0.31  0.558]
 [0.092 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
176,177,1,"[0.645, 0.635]",1,1,0,0.645,"[[0.31  0.558]
 [0.248 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
177,178,2,"[0.345, 0.335]",1,0,1,0.335,"[[0.31  0.636]
 [0.248 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
178,179,1,"[0.525, 0.515]",1,1,0,0.525,"[[0.31  0.636]
 [0.326 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
179,180,2,"[0.225, 0.215]",1,0,1,0.215,"[[0.31  0.536]
 [0.326 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,0,0
180,181,1,"[0.625, 0.615]",1,1,0,0.625,"[[0.31  0.536]
 [0.226 0.04 ]
 [0.663 0.62 ]]",0.0,0.9,1,0
