,g,episode,trial,m,d,state_id,stimuli,action
174,0.3,88,1,0.5,0.35,0,"[0.675, 0.325]",0
175,0.3,88,2,0.5,0.35,2,"[0.975, 0.625]",1
176,0.3,89,1,0.51,0.35,0,"[0.335, 0.685]",1
177,0.3,89,2,0.51,0.35,1,"[0.385, 0.035]",1
178,0.3,90,1,0.52,0.35,0,"[0.695, 0.345]",1
179,0.3,90,2,0.52,0.35,1,"[0.395, 0.045]",1
180,0.3,91,1,0.5,0.35,0,"[0.675, 0.325]",0
181,0.3,91,2,0.5,0.35,2,"[0.975, 0.625]",1
182,0.3,92,1,0.52,0.2,0,"[0.42, 0.62]",1
183,0.3,92,2,0.52,0.2,1,"[0.32, 0.12]",1
184,0.3,93,1,0.48,0.35,0,"[0.655, 0.305]",1
185,0.3,93,2,0.48,0.35,1,"[0.005, 0.355]",1
186,0.3,94,1,0.48,0.05,0,"[0.505, 0.455]",0
187,0.3,94,2,0.48,0.05,2,"[0.805, 0.755]",1
188,0.3,95,1,0.49,0.2,0,"[0.39, 0.59]",1
189,0.3,95,2,0.49,0.2,1,"[0.09, 0.29]",1
190,0.3,96,1,0.51,0.05,0,"[0.535, 0.485]",0
191,0.3,96,2,0.51,0.05,2,"[0.835, 0.785]",1
192,0.3,97,1,0.49,0.2,0,"[0.39, 0.59]",0
193,0.3,97,2,0.49,0.2,2,"[0.69, 0.89]",1
194,0.3,98,1,0.51,0.05,0,"[0.485, 0.535]",1
195,0.3,98,2,0.51,0.05,1,"[0.185, 0.235]",1
196,0.3,99,1,0.49,0.2,0,"[0.59, 0.39]",1
197,0.3,99,2,0.49,0.2,1,"[0.09, 0.29]",1
198,0.3,100,1,0.51,0.35,0,"[0.685, 0.335]",1
199,0.3,100,2,0.51,0.35,1,"[0.035, 0.385]",1
